pesototal;longitud;ancho;pesopulpa;nrosemillas
4,33;5,6;1,8;3,683;41
2,336;4,5;1,5;2,144;10
1,59;3,8;1;1,287;17
2,365;4,5;1,4;2,086;12
2,644;3,5;1,6;2,329;16
2,203;3,95;1,45;2,022;9
3,588;4,95;1,8;3,128;24
1,828;3,8;1,2;1,581;15
1,573;3,5;1,3;1,359;8
3,599;5,3;1,5;3,095;26
2,351;4,1;1,4;2,075;12
3,074;5;1,5;2,679;20
2,774;5,2;1,3;2,426;21
2,567;4,1;1,5;2,187;21
4,222;5,8;1,6;3,565;41
1,885;4;1,3;1,729;12
2,359;4;1,5;2,109;14
2,742;4,3;1,6;2,19;27
2,215;4,3;1,4;2,036;11
1,923;4,1;1,3;1,737;11
4,642;6;1,7;3,976;41
1,572;3,3;1,3;1,416;5
2,804;4,9;1,5;2,506;22
3,89;5,4;1,7;3,422;27
2,689;4,8;1,4;2,221;24
1,66;3,9;1,4;1,428;10
3,802;5,6;1,8;3,326;29
1,326;3,5;1,3;1,18;8
1,704;4;1,2;1,485;12
1,211;3,5;1,1;1,049;7
3,356;4,8;1,5;3,018;21
1,642;3,9;1,2;1,405;11
2,906;4,8;1,5;2,664;14
1,17;2,9;1,1;1,026;7
1,783;4,1;1,3;1,593;8
1,573;3,3;1,2;1,377;10
4,575;5,4;1,8;3,901;41
2,158;4,5;1,3;1,942;12
1,213;3;1,2;1,09;4
2,814;4,9;1,5;2,52;16
1,155;3,1;1,3;1,017;5
1,175;3,5;1,1;0,993;6
3,034;4,9;1,45;2,678;21
2,191;4,2;1,4;1,938;14
1,759;3,5;1,2;1,505;9
2,76;4,2;1,6;2,341;27
0,977;2,9;1,1;0,877;2
1,125;3,2;1;0,985;4
3,168;5,1;1,5;2,771;24
1,862;4,2;1,3;1,694;9
